source,target,value
0 - 45,225 - 315,1
135 - 225,225 - 315,1
225 - 315,0 - 45,1
225 - 315,135 - 225,1
225 - 315,225 - 315,5
225 - 315,45 - 135,1
45 - 135,225 - 315,1
0 - 45,0 - 45,15
0 - 45,135 - 225,5
0 - 45,225 - 315,25
0 - 45,45 - 135,7
135 - 225,0 - 45,5
135 - 225,135 - 225,6
135 - 225,225 - 315,22
135 - 225,45 - 135,2
225 - 315,0 - 45,20
225 - 315,135 - 225,22
225 - 315,225 - 315,211
225 - 315,45 - 135,24
45 - 135,0 - 45,12
45 - 135,135 - 225,1
45 - 135,225 - 315,20
45 - 135,45 - 135,6
